,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,spid,rating,COMMEQTA,LLPLOANS,COSTTOINCOME,ROE,LIQASSTA,SIZE,Total Rating,risk,Recommendation
33,33,33,33,33,323611,5,0.031747,0.012209,0.235535,-0.06779,0.464299,15.7542,0.28003780000000006,low,APPROVED
34,34,34,34,34,330844,5,0.020265,0.002866,0.66436,-0.044773,0.404638,19.893,0.2732842,low,APPROVED
35,35,35,35,35,330279,5,0.048703,0.005078,0.558437,0.054653,0.096054,17.4203,0.14860305,medium,CONDITIONAL APPROVED
36,36,36,36,36,106225,5,0.089805,0.008777,0.629203,0.084593,0.060909,18.6973,0.1670658,medium,CONDITIONAL APPROVED
37,37,37,37,37,100808,6,0.125334,0.009512,0.649063,-0.052437,0.05552,18.4512,0.08292005000000001,high,REJECT
38,38,38,38,38,113609,6,0.027139,0.005021,0.740933,-0.04423,0.201436,21.4347,0.14837675,medium,CONDITIONAL APPROVED
39,39,39,39,39,371876,6,0.094263,0.00425,0.643243,0.059613,0.068545,18.6038,0.15657569999999998,medium,CONDITIONAL APPROVED
40,40,40,40,40,371335,6,0.019447,0.005414,0.625795,-0.239443,0.180918,19.1259,-0.01040344999999998,high,REJECT
41,41,41,41,41,351824,6,0.055558,0.005685,0.561147,0.154577,0.167737,19.3039,0.268082,low,APPROVED
42,42,42,42,42,115572,6,0.037196,0.001223,1.5856,0.06329,0.57425,20.4971,0.5118462,low,APPROVED
43,43,43,43,43,104472,6,0.027721,0.003443,0.718245,-0.118013,0.353973,19.7873,0.1948183,medium,CONDITIONAL APPROVED
44,44,44,44,44,113361,6,0.019304,0.000199,0.23436,0.126257,0.253314,17.8056,0.2724935,low,APPROVED
45,45,45,45,45,115863,6,0.09843,0.00413,0.63189,0.11319,0.073494,17.5626,0.1983836,medium,CONDITIONAL APPROVED
46,46,46,46,46,103788,6,0.024345,0.001015,0.68047,0.08496,0.273077,19.1745,0.28083505000000003,low,APPROVED
47,47,47,47,47,376944,6,0.116888,0.058165,0.598053,0.269593,0.084111,16.6838,0.3258616,low,APPROVED
48,48,48,48,48,103417,6,0.015178,-3.5e-05,0.797393,0.048417,0.370149,18.9637,0.3204261,low,APPROVED
49,49,49,49,49,104201,6,0.044754,0.000921,0.527327,0.174577,0.151025,18.9028,0.2647302,low,APPROVED
50,50,50,50,50,341288,6,0.042477,0.002883,0.750607,0.085017,0.191585,19.6595,0.2388516,low,APPROVED
51,51,51,51,51,120025,6,0.027144,0.002803,0.639847,0.071593,0.558668,18.5665,0.4563795500000001,low,APPROVED
52,52,52,52,52,100535,6,0.081766,0.006269,0.607123,0.11435,0.048152,17.6199,0.17503325000000003,medium,CONDITIONAL APPROVED
53,53,53,53,53,336782,6,0.117759,0.00528,0.489257,0.095937,0.057294,17.1317,0.17649145,medium,CONDITIONAL APPROVED
54,54,54,54,54,100079,6,0.088477,0.095091,0.6624,0.320197,0.075009,18.3837,0.35091365,low,APPROVED
55,55,55,55,55,113122,6,0.055567,0.027864,0.913203,-0.00027,0.362821,21.0852,0.30631800000000003,low,APPROVED
